source,target,count,level
American (New),Burgers,2,2
American (New),Southern,1,2
Breakfast & Brunch,Vegan,1,2
American (New),Sports Bars,2,2
American (New),Salad,2,2
American (Traditional),Sandwiches,2,2
Italian,Wine Bars,4,2
American (New),Gastropubs,4,2
Mexican,Seafood,4,2
Indonesian,Malaysian,1,2
Korean,Lounges,1,2
Bars,French,1,2
American (New),Coffee & Tea,1,2
American (New),Breakfast & Brunch,7,2
Breakfast & Brunch,Juice Bars & Smoothies,1,2
American (New),Tapas/Small Plates,1,2
American (Traditional),Barbeque,2,2
Indian,Vegetarian,6,2
American (New),Breweries,1,2
American (New),Diners,1,2
Himalayan/Nepalese,Indian,2,2
Breakfast & Brunch,French,2,2
Noodles,Thai,2,2
Desserts,Ice Cream & Frozen Yogurt,3,2
Pizza,Salad,2,2
Italian,Pizza,18,2
Hiking,Parks,2,2
Asian Fusion,Thai,4,2
Desserts,Sandwiches,2,2
Japanese,Sushi Bars,11,2
Cocktail Bars,Karaoke,1,2
Barbers,Cocktail Bars,1,2
Barbeque,Smokehouse,1,2
Brazilian,Pizza,1,2
Brazilian,Italian,1,2
Delis,Grocery,3,2
Bakeries,Desserts,6,2
Breakfast & Brunch,Coffee & Tea,7,2
Breakfast & Brunch,Diners,5,2
Food Trucks,Ice Cream & Frozen Yogurt,1,2
Argentine,Empanadas,1,2
Cafes,Coffee & Tea,3,2
Asian Fusion,Japanese,2,2
Beer Bar,Seafood,1,2
Asian Fusion,Vietnamese,3,2
Brazilian,Buffets,1,2
Bakeries,Sandwiches,2,2
American (New),Italian,2,2
Breakfast & Brunch,Mexican,3,2
Food Delivery Services,Sushi Bars,1,2
Italian,Salad,1,2
Asian Fusion,Mexican,1,2
Burgers,Fast Food,14,2
Soup,Thai,2,2
Bakeries,Pizza,1,2
Burmese,Indian,1,2
Halal,Pizza,1,2
Pizza,Sports Bars,1,2
Desserts,Mediterranean,1,2
Bakeries,Breakfast & Brunch,4,2
Bakeries,Peruvian,2,2
Seafood,Tacos,3,2
Cuban,Spanish,1,2
Bubble Tea,Coffee & Tea,3,2
Latin American,Mexican,1,2
Grocery,Italian,1,2
Japanese,Vegan,1,2
Poke,Seafood,2,2
Caribbean,Latin American,1,2
Italian,Spanish,1,2
Halal,Indian,3,2
Barbeque,Thai,2,2
Cocktail Bars,Lounges,3,2
Ice Cream & Frozen Yogurt,Sandwiches,1,2
Pubs,Sports Bars,1,2
Ramen,Soup,1,2
American (New),Karaoke,1,2
American (Traditional),Seafood,2,2
Bakeries,Cuban,1,2
Coffee & Tea,Sandwiches,6,2
Caribbean,Seafood,1,2
Greek,Mediterranean,4,2
American (Traditional),Diners,1,2
Breakfast & Brunch,Caribbean,1,2
Pizza,Sandwiches,6,2
Fast Food,Pizza,3,2
Ethiopian,Jazz & Blues,1,2
Chinese,Vegan,1,2
American (New),Pizza,3,2
Steakhouses,Venues & Event Spaces,1,2
Breakfast & Brunch,Italian,2,2
Izakaya,Tapas/Small Plates,1,2
Burgers,Pan Asian,1,2
Cupcakes,Macarons,1,2
Bakeries,Kosher,2,2
Breakfast & Brunch,Chinese,1,2
Chicken Shop,Chicken Wings,1,2
Chinese,Japanese,1,2
Fast Food,Mexican,10,2
American (Traditional),Indian,1,2
Salad,Vegetarian,1,2
Salad,Vietnamese,1,2
Chinese,Hawaiian,2,2
Irish,Irish Pub,1,2
Salad,Sandwiches,4,2
American (Traditional),Delis,1,2
Bars,Scandinavian,1,2
Seafood,Steakhouses,3,2
Asian Fusion,Indonesian,2,2
Buffets,Pizza,1,2
Caterers,Food Delivery Services,1,2
American (Traditional),Bakeries,1,2
Bars,Karaoke,1,2
Chinese,Noodles,1,2
Cafes,Lounges,1,2
Cafes,Juice Bars & Smoothies,1,2
Custom Cakes,Ice Cream & Frozen Yogurt,4,2
Seafood,Southern,1,2
Ramen,Sushi Bars,1,2
Barbeque,Hawaiian,3,2
Bakeries,Donuts,3,2
Italian,Sandwiches,3,2
Buffets,Indian,6,2
Italian,Vegan,1,2
Burgers,Pizza,1,2
Fast Food,Sandwiches,4,2
Poke,Ramen,1,2
Dive Bars,Music Venues,1,2
Food Stands,Mexican,1,2
Bakeries,Coffee & Tea,3,2
American (New),Sandwiches,2,2
Cafes,French,1,2
Street Vendors,Tacos,3,2
Dance Clubs,Latin American,1,2
Food Trucks,Hot Dogs,1,2
Mexican,Salvadoran,2,2
Bakeries,Grocery,1,2
Breakfast & Brunch,Burgers,5,2
Dive Bars,Sports Bars,1,2
Chinese,Fast Food,3,2
Coffee & Tea,"Used, Vintage & Consignment",1,2
Fast Food,Tex-Mex,2,2
Mediterranean,Middle Eastern,1,2
Karaoke,Sports Bars,1,2
Mexican,Tex-Mex,2,2
Delis,Sandwiches,7,2
Barbeque,Burgers,1,2
American (Traditional),Vegan,1,2
Chinese,Juice Bars & Smoothies,1,2
Chicken Wings,Pizza,4,2
Fast Food,Specialty Food,1,2
Coffee & Tea,Donuts,5,2
Grocery,Middle Eastern,1,2
Cajun/Creole,Fast Food,1,2
Barbeque,Chinese,1,2
Food Trucks,Tacos,1,2
Bars,"Beer, Wine & Spirits",1,2
Japanese,Poke,1,2
