alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url,latitude,longitude,address_1,address_2,address_3,city,zip_code,country,state,display_address,category_1,category_2,category_3,,
fathers-office-los-angeles,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]","{'latitude': 34.0304642240788, 'longitude': -118.384695173189}",(310) 736-2224,2868.085634,wBeNozAR6wlJLTEwdWdPQg,https://s3-media3.fl.yelpcdn.com/bphoto/Hiy0wV3Q1OLmmqJj_ehQ0A/o.jpg,FALSE,"{'address1': '3229 Helms Ave', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90034', 'country': 'US', 'state': 'CA', 'display_address': ['3229 Helms Ave', 'Los Angeles, CA 90034']}",Father's Office,13107362224,$$,3.5,5986,[],https://www.yelp.com/biz/fathers-office-los-angeles?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.03046422,-118.3846952,3229 Helms Ave,,,Los Angeles,90034,US,CA,"['3229 Helms Ave', 'Los Angeles, CA 90034']",American (New),Burgers,Gastropubs,,
titos-tacos-culver-city,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 34.0082, 'longitude': -118.41434}",(310) 391-5780,1527.00947,Oq_sFiuFvALGQVM-MD-Fdg,https://s3-media4.fl.yelpcdn.com/bphoto/aRUbIhHfQVHW5r8P-WJwhg/o.jpg,FALSE,"{'address1': '11222 Washington Pl', 'address2': '', 'address3': '', 'city': 'Culver City', 'zip_code': '90230', 'country': 'US', 'state': 'CA', 'display_address': ['11222 Washington Pl', 'Culver City, CA 90230']}",Tito's Tacos,13103915780,$,3.5,4959,[],https://www.yelp.com/biz/titos-tacos-culver-city?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.0082,-118.41434,11222 Washington Pl,,,Culver City,90230,US,CA,"['11222 Washington Pl', 'Culver City, CA 90230']",Mexican,,,,
honeys-kettle-fried-chicken-culver-city,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'soulfood', 'title': 'Soul Food'}]","{'latitude': 34.023227, 'longitude': -118.395477}",(310) 202-5453,1802.242699,YZUvm7_lBnbdhR80jUU1lw,https://s3-media4.fl.yelpcdn.com/bphoto/hRJYjL-df4_kNYxqEvFgew/o.jpg,FALSE,"{'address1': '9537 Culver Blvd', 'address2': '', 'address3': '', 'city': 'Culver City', 'zip_code': '90232', 'country': 'US', 'state': 'CA', 'display_address': ['9537 Culver Blvd', 'Culver City, CA 90232']}",Honey's Kettle Fried Chicken,13102025453,$$,3.5,2853,"['delivery', 'pickup']",https://www.yelp.com/biz/honeys-kettle-fried-chicken-culver-city?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.023227,-118.395477,9537 Culver Blvd,,,Culver City,90232,US,CA,"['9537 Culver Blvd', 'Culver City, CA 90232']",Southern,American (New),Soul Food,,
versailles-cuban-food-los-angeles-2,"[{'alias': 'cuban', 'title': 'Cuban'}]","{'latitude': 34.02114, 'longitude': -118.4036}",(310) 558-3168,1627.848158,ssAlyvM97hroBeVPVJPgwA,https://s3-media2.fl.yelpcdn.com/bphoto/RD0LEWXmJ3AH97KmNV_hQA/o.jpg,FALSE,"{'address1': '10319 Venice Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90034', 'country': 'US', 'state': 'CA', 'display_address': ['10319 Venice Blvd', 'Los Angeles, CA 90034']}",Versailles Cuban Food,13105583168,$$,4,2217,"['delivery', 'pickup']",https://www.yelp.com/biz/versailles-cuban-food-los-angeles-2?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.02114,-118.4036,10319 Venice Blvd,,,Los Angeles,90034,US,CA,"['10319 Venice Blvd', 'Los Angeles, CA 90034']",Cuban,,,,
sage-plant-based-bistro-culver-city-culver-city,"[{'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'pizza', 'title': 'Pizza'}]","{'latitude': 34.006538, 'longitude': -118.41216}",(424) 228-5835,1312.234711,5F9s2LEzNsZnLGl-Ss2FMA,https://s3-media2.fl.yelpcdn.com/bphoto/ri-Vy3Q_KrLvi6KTU03D9w/o.jpg,FALSE,"{'address1': '4130 Sepulveda Blvd', 'address2': 'Ste G', 'address3': '', 'city': 'Culver City', 'zip_code': '90230', 'country': 'US', 'state': 'CA', 'display_address': ['4130 Sepulveda Blvd', 'Ste G', 'Culver City, CA 90230']}",Sage Plant Based Bistro - Culver City,14242285835,$$,4,2181,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/sage-plant-based-bistro-culver-city-culver-city?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.006538,-118.41216,4130 Sepulveda Blvd,Ste G,,Culver City,90230,US,CA,"['4130 Sepulveda Blvd', 'Ste G', 'Culver City, CA 90230']",Vegan,Breakfast & Brunch,Pizza,,
rush-street-culver-city,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'lounges', 'title': 'Lounges'}]","{'latitude': 34.023261, 'longitude': -118.394642}",(310) 837-9546,1819.903245,uu_ujfP-oIsv3EEzaM4LYw,https://s3-media3.fl.yelpcdn.com/bphoto/8Hdn0sCGYTpMR_hUfUGD5g/o.jpg,FALSE,"{'address1': '9546 Washington Blvd', 'address2': '', 'address3': '', 'city': 'Culver City', 'zip_code': '90232', 'country': 'US', 'state': 'CA', 'display_address': ['9546 Washington Blvd', 'Culver City, CA 90232']}",Rush Street,13108379546,$$,3.5,2095,"['delivery', 'pickup']",https://www.yelp.com/biz/rush-street-culver-city?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.023261,-118.394642,9546 Washington Blvd,,,Culver City,90232,US,CA,"['9546 Washington Blvd', 'Culver City, CA 90232']",American (New),Sports Bars,Lounges,,
tender-greens-culver-city,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 34.02341, 'longitude': -118.39532}",(310) 842-8300,1821.590972,pH4CUpQg8JvDhrhKFuhEhg,https://s3-media4.fl.yelpcdn.com/bphoto/W1bi_sghcOkmQYIYFgZIiw/o.jpg,FALSE,"{'address1': '9523 Culver Blvd', 'address2': None, 'address3': '', 'city': 'Culver City', 'zip_code': '90232', 'country': 'US', 'state': 'CA', 'display_address': ['9523 Culver Blvd', 'Culver City, CA 90232']}",Tender Greens,13108428300,$$,4,2050,[],https://www.yelp.com/biz/tender-greens-culver-city?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.02341,-118.39532,9523 Culver Blvd,,,Culver City,90232,US,CA,"['9523 Culver Blvd', 'Culver City, CA 90232']",American (New),Salad,Sandwiches,,
johnnies-pastrami-restaurant-culver-city,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 34.0081405639648, 'longitude': -118.413841247559}",(310) 397-6654,1468.046819,1VXRY7euCrJNq25LQmuQvA,https://s3-media1.fl.yelpcdn.com/bphoto/l27HXrNn2jJ7sEeHQFjDcA/o.jpg,FALSE,"{'address1': '4017 Sepulveda Blvd', 'address2': '', 'address3': '', 'city': 'Culver City', 'zip_code': '90230', 'country': 'US', 'state': 'CA', 'display_address': ['4017 Sepulveda Blvd', 'Culver City, CA 90230']}",Johnnie's Pastrami Restaurant,13103976654,$$,3.5,1807,[],https://www.yelp.com/biz/johnnies-pastrami-restaurant-culver-city?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.00814056,-118.4138412,4017 Sepulveda Blvd,,,Culver City,90230,US,CA,"['4017 Sepulveda Blvd', 'Culver City, CA 90230']",American (Traditional),Sandwiches,,,
pho-show-culver-city,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]","{'latitude': 34.003702, 'longitude': -118.408468}",(310) 398-5200,1042.266833,2j1vcfmb5kBhPtZ0MzjH_g,https://s3-media3.fl.yelpcdn.com/bphoto/cYXw8p1qasSPMW4s3xttcQ/o.jpg,FALSE,"{'address1': '4349 Sepulveda Blvd', 'address2': '', 'address3': '', 'city': 'Culver City', 'zip_code': '90230', 'country': 'US', 'state': 'CA', 'display_address': ['4349 Sepulveda Blvd', 'Culver City, CA 90230']}",Pho Show,13103985200,$$,3,1701,"['delivery', 'pickup']",https://www.yelp.com/biz/pho-show-culver-city?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.003702,-118.408468,4349 Sepulveda Blvd,,,Culver City,90230,US,CA,"['4349 Sepulveda Blvd', 'Culver City, CA 90230']",Vietnamese,,,,
rutts-hawaiian-cafe-los-angeles-4,"[{'alias': 'hawaiian', 'title': 'Hawaiian'}]","{'latitude': 34.0044256926496, 'longitude': -118.421607055397}",(310) 398-6326,2201.98695,1_snyhjeEuI70cozQW0fzA,https://s3-media3.fl.yelpcdn.com/bphoto/cIgMtHicoW37urhUOTl6aw/o.jpg,FALSE,"{'address1': '11707 Washington Pl', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90066', 'country': 'US', 'state': 'CA', 'display_address': ['11707 Washington Pl', 'Los Angeles, CA 90066']}",Rutt's Hawaiian Cafe,13103986326,$$,4,1675,"['delivery', 'pickup']",https://www.yelp.com/biz/rutts-hawaiian-cafe-los-angeles-4?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.00442569,-118.4216071,11707 Washington Pl,,,Los Angeles,90066,US,CA,"['11707 Washington Pl', 'Los Angeles, CA 90066']",Hawaiian,,,,
